id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
2285,True,Mashhad,Saturday 05PM,"دوربین 12و8
اندروید5.1
حافظه داخلی8
ساپورت مموری تا32گیگ
دوسیم 
ساپورت 4G
صفحه نمایش5.5اینچ الترا HD
گوشی فوق طرح اصلی میباشد لطفا سوال نکنید قیمتشم مقطوعه چکو چونه نزنید چون تو کل دیوارو بگردید به این قیمت محاله پیدا کنید",2,NA,mobile,280000,سامسونگ گلکسی A8+,NA,NA
2396,True,Karaj,Saturday 12AM,فروش هواوی y530 در حد اکبند بدون کوچکترین خش با لوازم یه خال هم روش نیست به هیچ عنوان معاوضه ندارم,4,NA,mobile,250000,فروش هواوی Y530,NA,NA
2464,True,Shiraz,Saturday 03AM,سلام گوشی سامسونگ a3 نو نو.بدون کوچکترین خط و خش.به شرط.سفید 16 گیگ,0,NA,mobile,-1,سامسونگ a$NUMاک اک.سفید.به شرط,NA,NA
2715,True,Tehran,Sunday 05PM,"گلد رنگ خاص.32گیگ.فول پک(کم پلاس+کاور)
گوشی رو 3 ماه پیش خریدم با گارانتی اصلی حتی یه نقطه هم روش نیست
لوازم جانبی نظیر هندزفری و کم پلاس ،پلمپ واقعی می باشد
تقاضای تخفیف و معاوضه به هیچ عنوان ندید.
تلگرام ندارم.لطفا تماس.بازدید تهران و کرج.مرسی",4,NA,web,1400000,ال جی G5.H860,NA,NA
2792,True,Tehran,Sunday 02PM,فروش فوری ،گوشی در حد میباشد، بدون گرانتی، تک سیم ، گلد، قیمت مقطوع، معاوضه هم ندارم,0,NA,mobile,1500000,note 5,NA,NA
2807,True,Tehran,Thursday 08AM,"بیست روزه خریدم بسیار تمیز در حد اک رنگ خاکستری، تعویض با iphone se یا 5s, پیام جواب نمیدم",0,NA,mobile,900000,هواوی G8,NA,NA
3011,False,Shiraz,Wednesday 06AM,گوشیو واقعا سالم هست دار ای ۱۶گیگ حافظه داخلی دارد کیفیت دوربین بسیار عالی و ۸هسته ای میباشد و تقریبا ۴ماه کار کرده هست.,2,NA,mobile,400000,هونور 4c,NA,NA
3063,False,Shiraz,Friday 07AM,"سالم و بسیار تمیز 
اندروید 4.
دوربین و ال سی دی سه بعدی
گوشی محکم و کارکن",0,NA,mobile,-1,فروش ال جی P920,NA,NA
3159,False,Tehran,Monday 06AM,کارکرد یک ماه,2,NA,mobile,1950000,گوشی s7 edge,NA,NA
3366,True,Tehran,Wednesday 07PM,سالم دو سیم با جعبه و شارژر باتری عالی ویندوزفون رم جدا هم میخوره دوربین جلو۵ ودوربین پشت۸ صفحه نمایش ۵ اینچ,4,NA,mobile,230000,لومیا ۵۳۵ مشکی دو سیم,NA,NA
3685,True,Qom,Saturday 03PM,سلام گلکسی نت 3سالم درحدبه شرط رنگ زرشکی فوق العاده تک.تعویض ندارم مدلشمn9000و32گیگ میباشدفروش فوری لطفاتقاضایی تخفیف نکنیدقیمتوپایین زدم.تشکر,2,NA,mobile,750000,سامسونگ نت3,NA,NA
3735,True,Qom,Friday 07AM,"باسلام به کارکنایه دیوار
گوشی گلد دوسیم 4جی و تمیز میباشد .. 4هسته ایی ..که از بقیه مدها گرونتره و بهتره .. 
امکاناتشو ک همه میدونید دوربین 16 فور کا .. ضد ابو گردو غبار .. پردازنده بسیار قوی.... حسگر اثر انگشت ... ضربان قلب 
نظرم رو تعویض با ایفون فایو اس هست 
قیمتم 850 هست 
مورد دیگه ای بود پیام بدین (فقط هم رده با بالاتره )
آگهی تکراری نیست
مرسی از دیواار",1,NA,mobile,850000,تعویض گلگسی اس5 دوسیم با ایفون فایواس,NA,NA
3849,True,Qom,Tuesday 03PM,گوشی موبایل گذاشتم برافروش قیمت70 زدم تخفیف هم میدم$NUM,1,NA,mobile,70000,گوشی مینی آک,NA,NA
3854,True,Tehran,Tuesday 05AM,"در حد نو
بدون خط و خش همراه گلس و قاب",0,NA,mobile,950000,z5premium dual,NA,NA
3916,False,Mashhad,Friday 01PM,"لومیا 920
ویندوز10
دوربین 8
سیم کارت 4g
حافظه32گیگ 
فقط گوشی رو از مالزی واسم اوردن کارتن نداره ولی تضمینی میدم ک خیالتون راحت باشه تخفیف جزیی به خریدار واقعی
ممنون از سایت دیوار",1,NA,web,300000,گوشی نوکیا لومیا920,NA,NA
4067,True,Tehran,Saturday 12PM,گوشیو 20روزه خریدم از دستم افتاده السیدیش گوشش ترک خورده,2,NA,mobile,1300000,گوشی s7 edge,NA,NA
4095,True,Kermanshah,Wednesday 05AM,"ایفون7 32gig (LLA) رنگ گلد
گوشی کلا 10 روز کارکرده و با آک هیچ فرقی نداره بدون کوچکترین خط و خش و نقطه یه گلس 3D روشه به مبلغ ۶۰تومن یه گارد داره ۵۰ تومن محافظ دوربین و گلس پشت که تقدیم خریدار میشه(قیمت نو گوشی الان ۲۷۶۰) قیمت پرت ندید 
(فقط فروش معاوضه با هیچی ندارم)",4,NA,mobile,2530000,ایفون ۷ آک,NA,NA
4109,True,Mashhad,Saturday 10PM,"گوشی سالم در حد آک 4g با لوازم کامل فقط فروش 
فقط تماس بگیرین ممنون تخفیف هم داره",1,NA,mobile,650000,سونی z2 4g,NA,NA
4149,True,Tehran,Monday 01PM,گوشی تمیز در حد با جعبه,1,NA,mobile,150000,G525,NA,NA
4257,True,Karaj,Wednesday 07PM,اپل 5S گلد، ۳۲گیگ,2,NA,mobile,850000,اپل 5S گلد، ۳۲گیگ سالم,NA,NA
4417,False,Tehran,Wednesday 04AM,گوشی ١٦گیگ LLA کاملا سالم و بدون کوچیکترین ضربه و پلم میباشد(شکستگیها در عکس مال گلس گوشیه)..رنگ گلد سفارشی..دارم زیر قیمت میفروشم..همراه با ٢قاب زیبا رایگان,4,NA,mobile,800000,فروش عالی ایفون ٥s gold,NA,NA
4490,True,Isfahan,Wednesday 02PM,گوشی فقط بردو  ال سی دی سالم می باشدوال سی دی هم کاملا نو می باشد,1,NA,mobile,20000,گوشی سونی اریکسونS500i,NA,NA
4553,True,Shiraz,Sunday 11AM,فروش نت ایج کامل تمیز در حد اک  و معاوضه هم با a9 2016یا اس6 ایج تمیز قیمت واسه فردش کاملا مقطوع,2,NA,mobile,1300000,فروش یا معاوضه نت ایج,NA,NA
4594,True,Karaj,Monday 07PM,"اندروید5
ios8.0.6
64گیگ
دوربین جلو5عقب8 
با کارتون ولوازم 
تمیز با گارد فابریک 
معاوضه با سونیz 
و یا سامسونگ A3 اصلی
تلگرام پیام دهید",2,NA,mobile,200000,ایفون 6s طرح,NA,NA
4604,True,Isfahan,Sunday 11AM,گوشی کاملا سالم و تمیز ...بدون خش...هنذفری آک...دارای پاوربانک مخصوص سامسونگ فست شارژ(به ارش$NUMتومان)...32 گیگ...۲ سیم کارت...گلد..فقط نقد,4,NA,mobile,1950000,گوشی گلکسی s7 edge (بخونید),NA,NA
4642,True,Ahvaz,Monday 03PM,"گوشی جی 1 ایس با اینترنت پرسرعت 4G سفید رنگ همراه با وسایل جانبی کامل و فابریک (گارد و گلس ضدضربه اصلی و شارژر و هندزفری) گوشی در حد آک فقط یک هفته کار کرده بدون هیچ گونه خط و خش یا ایراد ! حافظه 8 گیگ . گوشی به شرط تعمیر نرفته و با مهلت تست 24 ساعته و از درب منزل بنده تحویل داده میشود ! 
توجه : این گوشی فقط دست خودم بوده دو هفته بیشتر هم ازش استفاده نکردم 400 تومن گرفتمش قیمتشم 300 تومن مقطوع مقطوعه اگر با قیمت مشکل داری زنگ نزن چون  یک ریال هم تخفیف نداره ! داری گوشی کاملا نو میبری
تلگرام و تماس و اس ام اس 24 ساعته جوابگو هستم",2,NA,mobile,300000,سامسونگ جی 1 ایس فورجی,NA,NA
5191,True,Tehran,Thursday 02PM,گوشی در حد اکبند واقعی بدرن خط و هر گونه خش کارتن و لوازم کامل قیمت ٩٣٠مقطوع تا امشب,0,NA,web,930000,Iphone 5s 64GB در حد اکبند,NA,NA
5318,True,Isfahan,Tuesday 08AM,١٢٨گیگ،گلد,0,NA,mobile,2980000,Iphon 7 اک,NA,NA
5397,True,Isfahan,Monday 02PM,"گوشی تمیز و سالم در حد آک و با گوشی نو فرقی نداره یک ماهه خریدم گلس تمام صفحه ٧٠ هزار تومنی روش هست
فقط نقد میفروشم",3,NA,mobile,2250000,گوشی آیفون 6s silver 64G,NA,NA
5456,False,Tehran,Sunday 02AM,نوت 3 مدل فورجی ساخت کره باطری ژاپنی cpu 2.3 حافظه 32 و رم 3 گیگابایت اندروید 5 . با وسایل کامل.گلس و قاب ژله ای سالم با مهلت تست.,2,NA,mobile,850000,Not 3 N9005,NA,NA
5659,True,Tehran,Tuesday 03AM,"گوشی فوق العاده تمیز و سالم و کم کارکرد
پارت امریکا lla
جعبه و لوازم کامل و اصلی
128 گیگ حافظه",2,NA,mobile,2150000,apple iphone 6s 128 gb استثنایی,NA,NA
5674,True,Mashhad,Thursday 04PM,"حافظه داخلی :۱۲۸ گیگ
رنگ : مشکی مات
کارکرد :۱ماه
بدون هیچگونه خوردگی",3,NA,mobile,2900000,آیفون 7 فوق العاده تمیز,NA,NA
5702,True,Isfahan,Sunday 01PM,"فروش گوشی های 
samsung galaxy j5
samsung galaxy j7($NUM)
قیمت های عالی و مناسب
قیمت j5 در بازار:$NUM
قیمت ما:$NUM
و
قیمت j7(2015) در بازار:$NUM
قیمت ما:$NUM
قیمت j7(2017)در بازار:$NUM
قیمت ما:$NUM
تمامی اجناس ما اصل بوده و چینی نمی باشد.میتوانید امتحان و تست کنید.",2,NA,mobile,700000,فروش گوشی samsung,NA,NA
5733,True,Karaj,Thursday 10PM,گوشی بالا نمیاد من دنبال درست کردنش نرفتم همه جیزش سالمه بدنه ال سی دی و ....قیمت مقطوع بدون تخفیف ممنون از اپ دیوار,3,NA,mobile,100000,هواوی پی ۶,NA,NA
5959,True,Isfahan,Wednesday 06AM,گوشی در حد نو بدون خط و خش.کارتن و لوازم آک و کامل.کیبرد استفاده نشده.فقط پیام بدید.,1,NA,web,100000,گوشی نوکیا c6-00,NA,NA
6029,False,Tabriz,Wednesday 01AM,با سلام گوشی خیلی تمیز هست از اولش دست خودم بوده بدون هیچ ایرادی  .تو این رنج قیمت خیلی گوشی خوبیه دوربین خیلی خوب 8 مگا فول اچ دی صفحه نمایش بسیار خوب خازنی .اندروید$NUMتقریبا بدون خط و خش خواهشن اس بدین به دلیل مشغله کاریم مرسی .خواهشن قیمت های فضایی ندین به خریدار واقعی تخفیف جزعی میدم با تشکر,2,NA,mobile,260000,سامسونگ  s2 plus,NA,NA
6137,True,Tehran,Monday 01PM,گوشی در حد 10 سال کنار بوده کلا 8 ماه کار نکرده با تمام لوازم بدون تعمیر همه چیز اصلی حتی باطری,1,NA,mobile,1050000,نوکیا8800 سیراکو سیلور,NA,NA
6166,True,Tehran,Sunday 04PM,سونی تی۲سفید درحدبدون خط وخش لوازم کامل فروش یامعاوضه بامدل بالاتر,0,NA,mobile,460000,سونیt2الترا,NA,NA
6241,False,Tehran,Friday 01PM,ایفون ٦اس. ٦-٦پلاس کارکرده,1,NA,mobile,15000000,ایفون ٦و  و ٦اس ١٦ گیک,NA,NA
6261,False,Mashhad,Saturday 05PM,تمیز، کم کار، وسایل کامل,2,NA,mobile,140000,گوشی هواوی Y330,NA,NA
6474,True,Mashhad,Saturday 03PM,"گوشی تمیزه
مموری خوره
هنزفری هم داره
خریدار واقعی تماس بگیره",1,NA,mobile,80000,سامسونگ مدل gt-c3050,NA,NA
6506,True,Kermanshah,Wednesday 03AM,"باسلام 
گوشی نوکیا 6500s ساخت کشور فنلاند با آنتن دهی قوی و باطری عالی. سالم و تضمینی. و 24 ساعت مهلت تست. ساپورت رم(میکرو) جهار گیگ و دوربین با کیفیت. 
قیمت یک گوشی ساده س
فقط تماس.معاوضه هم ندارم

ممنون از دیوار",2,NA,mobile,45000,نوکیا اصل فنلاند,NA,NA
6550,True,Karaj,Friday 07PM,"بسیار سالم و تمیز،در حد آک،ازین رفرشای تو بازار نیست،بدون تعمیر و باز شدگی،معاوضه با 6 گلد یا مشکی 64 گیگ
فقط هنذفریش گم شده که پولشو کم کردم ازش",3,NA,mobile,1100000,آیفون 5s گلد 64گیگ,NA,NA
6645,True,Shiraz,Sunday 04AM,"گوشی سالم و تمیز بدون خط و خش
تمام وسایل اصلی
تعمیر نشده
ضربه نداره",1,NA,mobile,870000,Apple 5s 32 gig gray,NA,NA
6755,False,Tabriz,Tuesday 05AM,فروش گوشیهای اصلی در حد صفر و صفر به قیمت دبی تمام گوشیها ریجستری شده بدون خط خش زدگی حتی یک خال کوچیک رفرش وتعمیری نمیباشد(گوشیها یک سال گارانتی میباشد ),2,NA,mobile,850000,فایواس ۶۴گیگ و۳۲گیگ به قیمت دبی,NA,NA
6886,True,Karaj,Monday 07AM,گوشی تک سیم و در حد اک بدون یه خال زدگی معاوضه با مدل پایینتر هم دارم ولی در حد باشه تخفیف جزیی به خریدار میدم,2,NA,mobile,600000,هانر ۶ مدل۴جی,NA,NA
6973,True,Tehran,Wednesday 03PM,باسلام گوشی سامسونگ جی۱ اصلی ۲۰۱۶دوسیم کارت فورجی اک اک رنگ گلد به همراه گلس بدون خط و خش بدون رنگ رفتگی انگار داری اک میخری .اندروید ۵.۱ .قیمت اک گوشی ۵۰۰تومانه از ارزون ارزون تر گذاشتم .ارسال به شهرستان هم دارم باتشکرازدیوار,3,NA,mobile,270000,سامسونگ جی۱ فورجی۲۰۱۶,NA,NA
7144,False,Mashhad,Monday 08AM,"سلام
گوشی دو سیم کارت.
 لطفا اس مس بدید، اگر به توافق رسیدیم تماس میگیرم.",2,NA,web,300000,گوشی در حد نو Desire 601,NA,NA
7217,True,Karaj,Tuesday 01PM,با سلام من گوشی باز نیستم اما اهل فن میدنند بسیار مقاوم شیک لمسی بالا با اشاره دوربین بسیار با کیفیت خلاصه من هفتصد خریدم الان گذاشتم صد و بیست با گوشی بی سیم پاناسونیک همه میزنم رو میزی بعد از ظهر در خدمتم کارتن شارژر داره,0,NA,mobile,120000,گوشی بسیار مقاوم n8 اصل است,NA,NA
7318,True,Tehran,Wednesday 03PM,"گلکسی s5 dous 4g؛ 4G مشکی به همراه یک قاب گلد اصلی که ۸۰ت خریداری شده بینهایت تمیز فقط یه نقطه خیلی خیلی ریز خوردگی داره به همراه گلس و فلیپ کاور اصلی (s view cover) و آی فیس و یک باطری اصلی اضافه
اندروید آپدیت شده به نسخه$NUMاصلی.

به همراه یک ساعت galaxy gear 2 neo نارنجی که خیلی تمیزه، فقط بند اصلی نارنجی خودش کمی کثیف شده بدون خط و خش و خوردگی.
برای تغییر رنگ میتونید از اسپری رنگ پلاستیک استفاده کنید. مشکی یا هر رنگ دیگه دلخواه خودتون.

قیمت هردو باهم 1050 تومان
ساعت به تنهایی 300 تومان
گوشی به تنهایی 800 تومان

فقط و فقط فروش با هیچ چیزی تعویض ندارم.
فقط و فقط تماس بگیرید به هیچ وجه من الوجوه جواب sms نمیدم.",3,NA,mobile,800000,گلکسی s5 دوسیم + ساعت گلکسی gear,NA,NA
7433,False,Tehran,Friday 12PM,گوشی فقط چند ماه دستم بودم و فوق العادس,2,NA,mobile,2300000,گوشی گاکسی s7 edge 32g  black,NA,NA
7473,True,Karaj,Thursday 05AM,"سلام. گوشی صفر و‌آکبنده...فقط در حد نصف روز ...این کوشی فرق داره و j710f هست.. ۱۶ گیگ و دوسیمکارت و رنگ گلد دارای گلس و فاکتور معتبر و گارانتی کامل.. ضمنا ۴جی هم هست
صفحه نمایش عالی super amo led
بسیار زیبا و شیک و خوش فرم با پردازنده قوی
همین گوشی در سایت دیجی کالا ببینید نزدبک یک میلیون پولشه(۹۸۰هزار)
صدتومن زیر قیمت میدم‌که بره",0,NA,mobile,800000,سامسونگ گلکسی j$NUM,NA,NA
7558,True,Tehran,Sunday 01AM,"گوشی آیفون 5s ، 16G
هندزفری و شارژر فابریک ، بسیار کم کار کرد چون بعنوان گوشیه دومم بوده ،معاوضه ندارم ، رنگش Gray هستش اما گلسش گلده ، lla بوده و همه چیش به شرط اصلی",2,NA,mobile,900000,گوشی آیفون 5s گری,NA,NA
7693,True,Mashhad,Saturday 07AM,تماس از طریق تلگرام  خریدار واقعی پیام بده,0,NA,mobile,1750000,گوشی موبایل بلک بری$NUMpriv,NA,NA
7702,True,Mashhad,Thursday 02AM,گوشی سامسونگ اس ۴ مینی در حد خشک هنوز تو جیب گذاشته نشده اصل ویتنام تک سیم کارت قیمت$NUMتومان,1,NA,mobile,400000,گوسامسونگS4مینی درحداک بدون نقطه,NA,NA
7719,True,Mashhad,Tuesday 08PM,سلام گوشی سالم باکارتون وشارژر مشتری واقعی تماس یا پیام. باتشکر,1,NA,mobile,60000,سونی اریکسون w20,NA,NA
7782,True,Tehran,Friday 05AM,بسیار تمیز گوشی دومم بوده دیگه لازمش نداشتم قیمتم خوب زدم  خواستید تلگرام جوابگو هستم ممنون,2,NA,web,380000,گوشی هوواوی p6,NA,NA
7787,True,Mashhad,Saturday 03PM,گوشی درحداک سفید دوسیم باگارانتی.هنوز لوازمش استفاده نشده.گلس ویه گارد فانتزی مشکی داره.تخفیف جزئی.معاوضه ندارم.,0,NA,mobile,1750000,Note5,NA,NA
7895,True,Tabriz,Monday 05PM,خیلی تمیزه کم کارکرد دو سال بود فکر میکردم گمش کردم ولی داخل قوطیش توی انباری بود خریدار واقعی تماس بگیره ممنون از برنامه دیوار,2,NA,mobile,190000,گوشی سامسونگ s DUOS,NA,NA
7995,True,Tehran,Sunday 03AM,"گوشی سری اول ایفون از خود امریکا خریدم -LL/A-سفید 16-در حد خط وخش کم-تمامی وسایل کامل -باتری 1 روز راحت نگه میدارد-با1 تا قاب-محافظ صفحه تازه انداختم روش-هیچ مشکل نرم افزاری نداره -ios$NUMاخرین ورژن(فرو رفتگی پشت گوشی  داخل جیب بوده بر اثر فشار کلید که تو جیبم بوده اینجوری شده!) گوشی هیچ مشکلی نداره پس!
قیمت مقطوع لطفا فقط اسمس بدین (زنگ نزنین !!)
فقط برای فروش میباشد!!
ممنون",5,NA,web,600000,iphone5-16,NA,NA
8082,False,Isfahan,Wednesday 03PM,توضیحاتش کامل تو اینترنت هست.کاملا سالم و بدون هیچ عیب ومشکلی .تماس و تلگرام پاسخگو هستم .,2,NA,mobile,-1,گوشی سامسونگ s5260,NA,NA
8182,False,Tabriz,Thursday 09AM,"سامسونگ جی 7 کاملا نو 
معاوضه نمیکنم 
قیمت هم مقطوع 
با تشکر",2,NA,web,550000,سامسونگ جی 7,NA,NA
8225,False,Mashhad,Tuesday 02PM,"گوشی فوق‌العاده عالی درحد اک 
سریf حافظه32
بهترین نوع نوت 4 ازین سری هست رم 3 
8 هسته ای
قیمت مقطوع لطفا فقط تماس 

با سپاس از ناظر دیوار",0,NA,mobile,1050000,سامسونگ نوت 4,NA,NA
8277,False,Tehran,Wednesday 05AM,"گوشی کلکسیونی بسیار زیبا
کاملا تمیز و سالم",2,NA,mobile,120000,samsung S3600,NA,NA
8301,False,Shiraz,Friday 05PM,گوشی نو بدون ضربه و خط خش با کاور معاوضه با ایفون 5همرده حالا تا 200میتونم روشم سر بدم مرسی از دیوار,0,NA,mobile,700000,گوشی g7سامسونگ,NA,NA
8368,True,Isfahan,Sunday 10AM,"آیفون ٦اس رزگلد ١٦ گیگ فروش فوری
گوشی در حد نو بدون کوچترین خط و خش
به بالاترین قیمت پیشنهادی فروخته میشود در عرض ٢٤ ساعت آینده",0,NA,mobile,-1,Iphone6s rosegold,NA,NA
8429,False,Tehran,Sunday 08PM,گوشی کاملا نو و سالم می باشد،به شرط ٤٨ ساعت مهلت تست میدم,0,NA,mobile,930000,5s. 32g,NA,NA
8464,False,Isfahan,Sunday 07AM,1 سال کارکرد-  blue golf design,0,NA,web,-1,گوشی galaxy s5,NA,NA
8643,True,Ahvaz,Tuesday 01AM,"یک روزه خریداری شده.
پردازنده Mediatek MT6755 
رنگ مشکی،
دو سیم کارت (نانو سیم کارت)
CPU  8 هسته
 2 گیگاهرتز Cortex-A53
    مقاوم در برابر خط و خش glass
    اندازه
$NUMاینچ (~76.1% نسبت صفحه نمایش به بدنه)
    مولتی تاچ
سیستم عامل نسخه 6.0
 درگاه حافظه
    microSD، تا 200 گیگابایت (dedicated slot)
    حافظه داخلی
$NUMگیگابایت
    حافظه  RAM 3
  دوربین اول21.5
	جلو 16",2,NA,mobile,1100000,گوشی سونی xA ultra,NA,NA
8678,True,Shiraz,Saturday 07AM,گوشی بسیار بسیار تمیز می باشد تک سیم کارت مشکی,0,NA,mobile,-1,گوشی نوت 3 در حد نو بدون خط و خش,NA,NA
8694,True,Mashhad,Tuesday 07AM,"نسبتا تمیز
کاملا سالم
ب شرط تست
بدلیل خرید گوشی جدیدتر اینو میفروشم
وسایلش کامل
همراه با گارد
معاوضه با اس 3",3,NA,mobile,450000,هانر 6,NA,NA
8783,True,Shiraz,Tuesday 09AM,گلکسی وین در حد نو بدون تعمیر شدگی و هنگ کردن.به عنوان گوشی دومم بوده همیشه خاموش بوده.یدونه آی فیس،یدونه بک کاور و ضد خش صفحه هم داره.لوازم کارتن(شارزر و هندزفری)هم کامل هست.تخفیف خیلی کوچک فقط پای معامله.با وین های دیگه فرق داره انگار دارین گوشی سری اولی نو میخرین,5,NA,mobile,300000,گلکسی وین سری اولی در حد نو,NA,NA
9072,True,Isfahan,Wednesday 12PM,"گوشی کاملا سالم بدون خط و خش
تعویض با گوشی های هم رده",1,NA,mobile,-1,lg g4,NA,NA
9084,False,Tehran,Wednesday 08AM,در حده نو بسیار تمیز,1,NA,web,1650000,گوشى ٦ پلاس,NA,NA
9144,True,Tehran,Sunday 10AM,"خاکستری 
بدون نقطه و خط خش
با لوازم کامل 
ورژن 10
32 گیگ",4,NA,mobile,1100000,ایفون 5S 32,NA,NA
9201,True,Ahvaz,Wednesday 06PM,گوشی خیلی تمیزی هست شرط سالم وبدون خط وخش,1,NA,mobile,400000,گوشی اپل فور16گیگ,NA,NA
9290,True,Tehran,Monday 05AM,گوشی  جدید طرح اصل درجه یک با کیفیت,1,NA,mobile,250000,گوشی  سامسونگ جدیدترین مدل به قیمت عمده,NA,NA
9943,True,Mashhad,Thursday 05AM,سلام گوشی نوکیا لومیا ۵۲۰ سیستم عامل ویندوز فون هستش خط و خشم نداره سالم  پیام بدین و تلگرام زنگ نزنین,1,NA,mobile,150000,گوشی نوکیا,NA,NA
10066,True,Karaj,Thursday 12PM,رنگ قهوه ای سوخته تک در حد آک قیمت معاوضه 550 قیمت مقطوع 16 گیگ رام2 دوربین 13و2 گلس قاب ای فیس 8 هسته ای جعبه لوازم کامل معاوضه با گوشی های هم رده تمیز با گوشی های رده بالا مقداری سر داده میشود NFC و اینفرارد داره تلگرامم هستم پیشنهاداتونو اس کنید ممنون از دیوار.,2,NA,mobile,500000,فروش و معاوضه سامسونگ اس 4,NA,NA
10205,False,Isfahan,Sunday 06AM,"گوشی ازهرنظرعالی۰۰۰بدون خش.
۱۶گیگ رنگ مشکی با گلس پشت و رو۰۰۰
سه تا قابم داره که رایگان به خریدارمیدمشون.
توضیحات کامل.لطفا بابت تخفیف و سوالای بی مورد تماس نگیرین.",0,NA,mobile,950000,فایو اس عالی,NA,NA
10447,False,Isfahan,Saturday 12PM,"سلام یه ماه پیش این گوشی و به دلیل خراب شدن گوشیم ۲۵۰ این گوشیو خریدم نونو هیچ مشکلی نداره 
اندروید ۴
کلیه ی برنامه هارو هم داره 
با قاب روش
تضمینی بدون هیچ مشکلی 
اگه عکس نذاشتم چون الان دستم
فروش فوری فوری به دلیل خریدن ایفون 
با ایفون فایو اس هم میزنم مابقی سر میدم 
فقط تماس و تلگرام 
باتشکر از دیوار",0,NA,mobile,180000,گوشی هواوی ۱ماه کارکرده نو,NA,NA
